UGANDA MEDICAL AND DENTAL PRACTITIONERS COUNCIL,,,,,,,,,,,,,,,,,,,,,,
OPERATING LICENCE REGISTER AS OF 31/12/2016,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Reg No.,Name,Owner ,Supervisor ,Plot,Ward,Division,District,Village,Sub County,County,District,Category Of Health Unit ,Health Unit Status,Number of Beds,Laboratory Services,X-ray Services,Radiotherapy Services,Ambulance Services,Other Services,Receipt No.,Serial No.,OL 2016
HUK0424,KYERE HEALTH CENTRE III,UCMB,DHO,,,,,KYERE,KYERE,SERERE,SERERE,Medical,Out Patient and In Patient ,15,Yes,No,No,Yes,,22209,1624,27/06/16
HUK0449,KYOTERA MUSLIM HEALTH CENTRE,UMSC,DHO,KYOTERA,,KYOTERA TOWN COUNCIL,RAKAI,,,,,Medical,Out Patient and In Patient ,10,Yes,No,No,No,"FP,ANC",18299,156,12/02/16
HUA0143,LACOR AMURU HEALTH CENTRE III,UCMB,DHO,,,,,PAGAK,AMURU,KILAK,AMURU,Medical,Out Patient and In Patient ,24,Yes,No,No,Yes,,24438,817,11/04/16
HUO0016,LACOR OPIT HEALTH CENTRE III,UCMB,DHO,,,,,PARWECH,LALOGI,OMORO,GULU,Medical,Out Patient and In Patient ,24,Yes,No,No,No,,24437,816,11/04/16
HUL0006,LAMEKA COMMUNITY HEALTH CLINIC,KISUBI K. WILSON,DR KISUBI K. WILSON,"PLOT 259,BUTEMBE BLOCK3",BUGEMBE,BUDUMBULI EAST,JINJA,,,,,Medical,Out Patient ,8,Yes,Yes,No,No,,19505,320,10/03/16
HUL0002,LAVITA MEDICARE,ACANGA ALFRED,DR ACANGA ALFRED,OLELPEK ROAD,,APAC TOWN COUNCIL,APAC,,,,,Medical,Out Patient ,,Yes,Yes,No,No,"COUNSELLING,FP",21925,696,01/04/16
HUL0155,LE MEMORIAL MEDICAL SERVICES,OILE LYDIA K,DR DDUNGU HENRY,"BLOCK 271,234,305,307,306",,SSABAGABO-MAKINDYE,WAKISO,,,,,Medical and Dental ,Out Patient and In Patient ,30,Yes,Yes,No,Yes,"FP,PHYSIO,IMMUNIZATION",18315,171,22/02/16
HUL0137,LIFE AHEAD DENTAL PRACTICE,KWIZERA GODFREY,DR KWIZERA GODFREY,"27,BANANUKA STREET",,KAKOBA,MBARARA,,,,,Dental ,Out Patient ,,No,Yes,No,No,,21461,576,22/03/16
HUL0030,LIFE CARE CLINIC & MATERNITY,KOLI NIGHT GRACE,DR JALLON ANTHONY OKULLO,NAGURU GO DOWN II,,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,"FP,IMMUNIZATION",21079,485,22/03/16
HUL0031,LIFE CARE CLINIC KAZO (NABWERU),WAMBUZI SAM MAWANDA,KEBBA NAOME,,,,,KAZO,NABWERU,,WAKISO,Medical,Out Patient and In Patient ,,Yes,No,No,No,"ANC,MINOR LAB SERVICES",21184,517,22/03/16
HUL0146,LIFELINK HOSPITAL,DR NALULE ZAAM,DR AKULLO ANNE,KYALIWAJJALA,,KIRA,WAKISO,,,,,Hospital ,Out Patient and In Patient ,27,Yes,Yes,Yes,Yes,"MATERNITY,ANTENATAL",24300,990,11/04/16
HUL0058,LIFELINK MEDICAL CENTRE,NALULE ZAAM/SSEKANKYA,DR NALULE ZAAM,NTINDA,,NAKAWA,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,Yes,No,Yes,"FP,IMMUNIZATION",19585,332,10/03/16
HUL0055,LIKIL HEALTH CENTRE II,UCMB,DHO KWEEN,,,,,LIKIL,BENET,,KWEEN,Medical,Out Patient ,,No,No,No,No,,24404,780,11/04/16
HUL0061,LILLAH FORT-PORTAL CLINIC,UMMB,DHO KABAROLE,"M/8,KAMPALA RD",NJAARA,EAST DIVISION,KABAROLE,,,,,Medical,Out Patient ,,Yes,No,No,Yes,,18190,14,07/01/16
HUL0069,LIRA MEDICAL CENTRE,OGWANG BEN OCHOO,DR ANGO FRANCIS,"15, MOROTO RD",,LIRA MUNICIPALITY,LIRA,,,,,Medical and Dental ,Out Patient and In Patient ,50,Yes,Yes,Yes,No,03 THEATRES,21110,497,14/03/16
HUL0070,LIRA POLYCLINIC,OKELLO JAMES ALFRED,DR OKELLO JAMES ALFRED,"63/65,OYAM RD",,LIRA TOWN,LIRA,,,,,Medical,Out Patient ,,Yes,No,No,No,,24123,727,01/04/16
HUL0071,LISA MEDICAL CENTRE,NAKIWALA FLORENCE K.,DR KAYINA  VINCENT,"28, MENGO",,RUBAGA,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,20,Yes,Yes,Yes,Yes,FP,25299,1355,23/05/16
HUL0079,LODONGA HEALTH CENTRE III,UCMB,DHO,,,,,YIBA,DRAJINI,ARINGA,YUMBE,Medical,Out Patient and In Patient ,54,Yes,No,No,Yes,,24595,768,11/04/16
HUL0088,LOSILANG HEALTH CENTRE II,UCMB,DHO,,,,,LOSILANG,KOTIDO,JIE,KOTIDO,Medical,Out Patient ,1,Yes,No,No,Yes,"PMCT,VCT,ANC,EPI",19863,413,20/03/16
HUL0096,LUBANGABER COMMUNITY MED. CENTRE & PREV.,OKWIR MORRIS,DR BALEX BALENGERA GEOFFREY,"19-18,DUBAI",ARARAK B,KABERAMAIDO T/C,KABERAMAIDO,,,,,Medical and Dental ,Out Patient and In Patient ,10,Yes,Yes,Yes,Yes,,18688,61,20/01/16
HUL0100,LUGAZI MUSLIM HEALTH CENTRE,ISLAMIC MEDICAL ASSOCIATION OF UGANDA,DR KARAMA SAIDI ALI,107/109 BLOCK 316,KIKAWULA,ZONE A,BUIKWE,,,,,Medical,Out Patient ,9,Yes,Yes,No,No,,19307,257,02/03/16
HUL0103,LULAGALA H/C III,MITYANA DIOCESE,DHO,,,,,LULAGALA,BUSIMBI,MITYANA,MITYANA,Medical and Dental ,Out Patient and In Patient ,4,Yes,No,No,No,,25083,934,15/04/16
HUL0106,LUMINO FOCREV CLINIC,UCMB,DR ACHAYO LILLY BOXTELL,,,,,LUMINO,LUMINO,,BUSIA,Medical,Out Patient and In Patient ,4,Yes,No,No,No,,20253,1704,07/07/16
HUL0107,LUNA HEALTH CARE CLINIC,MUGASA KIHIKA ANTHONY,DR MUGASA KIHIKA ANTHONY,,,,,KAMULI,KIIRA,KYADONDO,WAKISO,Medical,Out Patient ,11,Yes,No,No,No,RDT,21503,610,25/03/16
HUL0110,LUNAR CLINIC BWEYALE,BAGUMA PONTIANO AND MUTABAZI FRED,DR MUTABAZI FRED,BWEYALE T.C,,KIRYANDONGO,KIRYANDONGO,,,,,Medical,Out Patient and In Patient ,10,Yes,Yes,No,No,FP,19268,240,24/02/16
HUL0113,LUSANJA ST. MATIA MULUMBA HC III,UCMB,DHO,,,,,LUSANJA,KAPEEKA,NAKASEKE,NAKASEKE,Medical,Out Patient and In Patient ,4,Yes,No,No,No,HIV COUNSELLING,25184,838,11/04/16
HUL0120,LWAMAGGWA HEALTH CENTRE III,UCMB,DHO,,,,,LWAMAGWA,LWAMAGWA,KOOKI,RAKAI,Maternity,Out Patient and In Patient ,15,Yes,No,No,Yes,,24859,1081,15/04/16
HUL0124,LYANTONDE MUSLIM HEALTH CENTRE III,UMMB,DHO,SAKIBU ROAD,WARD C,KOOKI,LYANTONDE,,,,,Medical and Dental ,Out Patient and In Patient ,6,Yes,No,No,No,"FP,IMMUNIZATION",24148,743,25/03/16
HUM0008,M.M CLINIC,NANZIRI MARIAM,DR LUBEGA JANET KOBUSINGE,,,,,KANYANYA,MAKINDYE,MAKINDYE,WAKISO,Medical,Out Patient ,,Yes,No,No,No,,21180,507,22/03/16
HUM0029,MADERA HEALTH CENTRE II,UCMB,DHO,,,,,MADERA,MADERA,MADERA,SOROTI,Medical,Out Patient and In Patient ,41,Yes,No,No,No,MATERNITY,22211,1626,27/06/16
HUM0034,MAGANJO NURSING HOME,MUSOKE MATOWA GEORGE,DR MUSOKE MATOWA GEORGE,,,,,MAGANJO TRADING CENTRE,NABWERU,WAKISO,WAKISO,Nursing Home,Out Patient and In Patient ,4,Yes,No,No,No,,21409,559,22/03/16
HUM0461,MAHESHWARI HEALTH CARE CENTRE UGANDA LIMITED,DEEPAK KUMAR,DR DEEPAK KUMAR,"15,MARTIN ROAD",OLD KAMPALA,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,2,Yes,Yes,No,No,"FP,IMMUNIZATION,ECG",1872,143,16/12/15
HUM0050,MAKIRO HEALTH CENTRE III,UCMB,DHO,,,,,MAKIRO,KIRIMA,KINKIIZI,KANUNGU,Medical,Out Patient and In Patient ,15,Yes,No,No,No,,19851,400,20/03/16
HUM0067,MAMA NEVIS MEMORIAL CLINIC,LUBWAMA STEPHEN,DR SSEBULIME GERALD,,,,,NAMAWOJOLO,NAMA,NAMA,MUKONO,Medical,Out Patient ,,Yes,No,No,No,,18694,62,20/01/16
HUM0540,MARANATHA HEALTH CHILDREN'S CLINIC,MARANATHA HEALTH,DR FINDLAY MICHEAL DAVID,KARAMBI,,FORTPORTAL,KABAROLE,,,,,Medical,Out Patient and In Patient ,30,Yes,Yes,No,No,IMMUNIZATION,18908,115,02/02/16
HUM0136,MARIA MEDICAL SERVICES,SSENDYONA MARTIN,DR SSENDYONA MARTIN,KIRA,,TOWN COUNCIL,WAKISO,,,,,Medical and Dental ,Out Patient and In Patient ,4,Yes,Yes,No,No,,21751,637,25/03/16
HUM0103,MARIE STOPES HEALTH CENTRE GULU,MARIE STOPES UGANDA,DR MWANGI JULIUS GIKONYO,"30,GULU AVENUE RD",GULU,LAROO,GULU,,,,,Medical,Out Patient ,,Yes,No,No,No,"FP,CERVICAL CANCER SCR",19470,296,29/02/16
HUM0094,"MARIE STOPES HEALTH CENTRE,LIRA",MARIE STOPES UGANDA,DR OTIM JULIUS SIMON,"16, ABER RD",,LIRA MUNICIPALITY,LIRA,,,,,Medical,Out Patient ,,Yes,No,No,No,"FP,HIV TESTING & COUNS",19467,293,29/02/16
HUM0096,"MARIE STOPES HEALTH CENTRE,MBARARA",MARIE STOPES UGANDA,DR KITAYIMBWA PETER,"8,MACLISTERC RD",MWI WARO,KAKOBA,MBARARA,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,No,"FP,HIV SCREENING,ANC",19468,294,29/02/16
HUM0099,"MARIE STOPES HEALTH CENTRE,TORORO",MARIE STOPES UGANDA,DR NUWAGABA CHARLES,"12,HYNE DRIVE",OSUKURU,MUNICIPALITY,TORORO,,,,,Medical,Out Patient ,,Yes,No,No,No,"EPI,VCT",19465,292,29/02/16
HUM0106,MARIE STOPES MASAKA CLINIC,MARIE STOPES UGANDA,DR WANDABWA JOEL,"41, HOBART STREET",,MUNICIPALITY,MASAKA,,,,,Medical,Out Patient ,,Yes,No,No,Yes,,19469,295,29/02/16
HUM0102,"MARIE STOPES,FORT PORTAL CLINIC",MARIE STOPES UGANDA,DR KAWTHER MUSA MOHAMMED,"2,MUGURUSI RD",,SOUTH DIVISION,KABAROLE,,,,,Medical,Out Patient ,,Yes,No,No,No,,19466,291,29/02/16
HUM0475,MARINA DENTAL CARE,NYOMBI MARINA RICHARDOVNA,DR NYOMBI MARINA RICHARDOVNA,"232,TUFNEL DRIVE ROAD",,KAMWOKYA,KAMPALA,,,,,Medical,Out Patient ,,No,No,No,No,,18231,28,13/01/16
HUM0110,MARINA MEDICAL CENTRE,KIIZA KULABAKO IAN ISREAL,DR KIIZA KULABAKO IAN ISREAL,"35, STATION RD",,KAWOLO,BUIKWE,,,,,Medical,Out Patient ,,Yes,No,No,No,,19605,334,09/03/16
HUM0113,MARO CLINIC,ADUPA ROSE ONEN,DR MUYAMBI FRED,"10F, IGANGA RD",,CENTRAL,JINJA,,,,,Medical,Out Patient ,,No,No,No,No,,21483,582,18/03/16
HUM0481,MARTYRS CLINIC & MATERNITY CENTRE,"NATUKUNDA CHARLOTTE,TUMUHIMBISE HAROLD",DR OCEN OBWOT KENNETH,LUZIRA,,NAKAWA,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,6,Yes,Yes,No,Yes,"FP,IMMUN,NURSING AGENC",18682,60,12/01/16
HUM0542,MARTYRS COMMUNITY DISPENSARY,MARTYRS CHURCH KATWE,DR NDAULA ALLAN PATRICK,MAKINDYE,,MAKINDYE,KAMPALA,,,,,Medical,Out Patient ,,No,No,No,No,"FP,IMMUNIZATION",25439,1419,25/05/16
HUM0116,MARTYR'S FAMILY CLINIC/MAT & NURSING HM,KATO BENON & KYOMUGISHA ELON,DR LUTAAKOME JOSEPH,GGABA,,MAKINDYE,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,6,Yes,Yes,No,Yes,"FP,IMMUNIZATION",18370,205,22/02/16
HUM0126,MASAKA TOWN MOTION CLINIC,SSEBAGGALA STEPHEN JOHN,DR SSEBAGGALA STEPHEN JOHN,46HORDEST,BUTEGO,KATWE BUTEGO,MASAKA,,,,,Medical,Out Patient ,2,Yes,No,No,No,PHYSIOTHERAPY,21402,558,22/03/16
HUM0127,MASHA CLINIC,ACHEBET SYLVIA BOYO,DR WANGUBO AYUB,,,,,"5,CHEMONGES RD",KAPCHORWA,,KAPCHORWA,Medical,Out Patient ,,Yes,Yes,No,Yes,,21916,695,01/04/16
HUM0128,MASINDI-KITARA MEDICAL CENTRE,MASINDI-KITARA MEDICAL CENTRE(APMI) UG,DR BATENGANYA GEORGE,AMOS TIBANYENDA RD,,MASINDI MUNICIPALITY,MASINDI,,,,,Nursing Home,Out Patient and In Patient ,25,Yes,Yes,No,Yes,"FP,IMMUNIZATION",18928,118,01/02/16
HUM0452,MASTER DOCTOR CLINIC,MBABAZI MOSES,DR MBABAZI MOSES,PLOT NO. 34,PERSE STREET,CENTRAL,MASINDI,,,,,Medical,Out Patient and In Patient ,8,Yes,Yes,No,No,,18532,162,12/02/16
HUM0550,MAYANGA MEDICAL CENTRE,DR AMUMPE JULIUS,DR AMUMPE JULIUS,,,,,MBARARA,MAYANGA,,MITOOMA,Medical,Out Patient and In Patient ,5,Yes,No,No,No,FP,19540,331,10/03/16
HUM0144,MAYANJA MEMORIAL HOSPITAL,BENBA ENTERPRISES LIMITED,DR MUGERWA BENON,"175, KASHARI",,KAKOBA,MBARARA,,,,,Hospital ,Out Patient and In Patient ,100,Yes,Yes,No,Yes,,18586,185,08/02/16
HUM0147,MAZIBA HEALTH CENTRE,UCMB,DHO,,,,,MAZIBA,MAZIBA,NDORWA,KABALE,Medical,Out Patient ,5,Yes,No,No,No,,19843,392,20/03/16
HUM0150,MBALE GENERAL CLINIC,RUBANZA B. & TWINOMUHANGI  J. W.,DR RUBANZA B & DR TWINOMUHANGI J W,"7, KUMI RD",,MUNICIPALITY,MBALE,,,,,Medical,Out Patient and In Patient ,15,Yes,Yes,No,Yes,COUNSELLING,21087,490,22/03/16
HUM0156,MBALE PEOPLE'S CLINIC AND MATERNITY HOME,ARUHO BOAZ,DR AKABWAI PATRICK,"12B, NORTH RD",MBALE,,MBALE,,,,,Medical,Out Patient and In Patient ,20,Yes,Yes,No,Yes,MATERNITY SERVICES,18287,,04/02/16
HUM0157,MBARARA BASIC HEALTH CARE CLINIC,WASSWA MUGANWA GEORGE,DR WASSWA MUGANWA GEORGE,"18B,MAKHAN SINGH",MAKHAN SINGH,KAKOBA,MBARARA,,,,,Maternity,Out Patient ,,No,Yes,No,No,,24130,732,25/03/16
HUM0158,MBARARA COMMUNITY HOSPITAL,DR KAREMA NATHAN,DR ODONGO LEO,KAKIIKA,KAMUKUZI,KAMUKUZI,MBARARA,,,,,Hospital ,Out Patient and In Patient ,120,Yes,Yes,Yes,Yes,"FP,EPI,MATERNITY",25446,1431,25/05/16
HUM0533,MBARARA LIFE CARE CLINIC,TINKASIIMIRE CHARLES JOHN,DR TINKASIIMIRE CHARLES JOHN,LOWER CELL,,KAKOBA,MBARARA,,,,,Medical,Out Patient and In Patient ,4,Yes,No,No,No,FP,18367,203,22/02/16
HUM0161,MBARARA SAFE MOTHERHOOD HOME,WASSWA SSALONGO GEORGE,DR WASSWA SSALONGO GEORGE,,,,,17 BANANUKA DRIVE,,KAKOBA,MBARARA,Medical,Out Patient and In Patient ,6,No,Yes,No,No,,24131,731,25/03/16
HUM0163,MBIRIZI HEALTH CENTRE III,UCMB,DHO,,,,,MBIRIZI,LWENGO,BUKOTO MIDWEST,LWENGO,Maternity,Out Patient and In Patient ,8,Yes,No,No,No,,21072,473,11/03/16
HUM0165,MBN CLINICAL LABORATORIES LTD,MBN CLINICAL LABORATORIES LTD,DR BWANGA FREDDIE,"28,NAKASERO RD",NAKASERO,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,"ECHO,ECG",25220,1286,19/05/16
HUM0166,MBUYE HEALTH CENTRE II,UCMB,DHO,,,,,KITOVU,LWANDA,KOOKI,RAKAI,Maternity,Out Patient and In Patient ,18,Yes,No,No,Yes,,24855,1077,15/04/16
HUM0072,MCFARLAND MEMORIAL MEDICAL CENTRE,GOD'S CARE MINISTRIES,DR MUCUNGUZI WILLIAM,,,,,"69,KYENJOJO",KYENJOJO TOWN COUNCIL,,KYENJOJO,Medical,Out Patient and In Patient ,11,Yes,Yes,No,No,MATERNITY,21125,729,01/04/16
HUM0178,MEDICAL EXPERTS CLINIC,AGABA AMON,DR AGABA AMON,"24, BANANUKA DRIVE",KISWAHILI KAKOBA,KAKOBA,MBARARA,,,,,Medical and Dental ,Out Patient and In Patient ,10,Yes,Yes,No,No,,21166,469,22/03/16
HUM0188,MEDICARE HEALTH CENTRE,SYED AEJAZ RASOOL,DR SYED AEJAZ RASOOL,"30, NORTH ROAD",,MUNICIPALITY,MBALE,,,,,Medical and Dental ,Out Patient and In Patient ,9,Yes,Yes,No,No,ECG,19634,349,09/03/16
HUM0203,MEMORIAL CLINIC & MEDICAL DIAGNOSTIC,OMALE WILLIAM,DR OMALE WILLIAM,WEATHERHEAD PARK LANE,ANYAFIO,ARUA MUNICIPALITY,ARUA,,,,,Medical,Out Patient ,,Yes,Yes,No,No,,18244,34,13/01/16
HUM0551,MERCIES MEDICAL CENTRE,OKURUT TOM,DR ANGIRO JOHN KARENTJAS,MAYUGE TOWN COUNCIL,,IKULWE BUGINGO,MAYUGE,,,,,Medical,Out Patient and In Patient ,10,Yes,Yes,No,No,FP,19230,227,12/02/16
HUM0454,MERCY CLASSIC CLINIC,KAYAGA FARIDA,MULINDWA PATRICK,MASANAFU,LUBAGA,KAMPALA,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,,18177,15,07/01/16
HUM0501,MERIT CHILDREN'S MEDICAL CENTRE,BAGUMA JOSEPH,DR KYOHAIRWE SUSAN MUSIIME,"224,WANDEGEYA",,CENTRAL,KAMPALA,,,,,Medical,Out Patient and In Patient ,5,Yes,No,No,No,IMMUNIZATION,25224,1366,10/05/16
HUM0224,MIDAS TOUCH MEDICAL SERVICES-KUMI,MIDAS TOUCH INVESTIMENTS LINITED,DR LUTALO KRISS,"11, SOROTI RD",BAZAAR,,KUMI,,,,,Medical,Out Patient and In Patient ,7,Yes,Yes,Yes,No,MINOR SURGICAL CENTRE,21968,633,05/04/16
HUM0230,MIFUMI HEALTH CENTER III,MIFUMI PROJECT LIMITED,DR OKOTH NDIRA ANTHONY,,,,,MIFUMI VILLAGE,KIREWA,WEST BUDAMA,TORORO,Medical,Out Patient and In Patient ,8,Yes,Yes,No,Yes,,18092,1,05/01/16
HUM0234,MIKAYA DAY CARE CLINIC,SABIITI FANUEL ABWOOLI,DR SABIITI FANUEL ABWOOLI,MASINDI ROAD,,KIRYANDONGO TOWN COUNCIL,KIRYANDONGO,,,,,Medical and Dental ,Out Patient ,,No,No,No,No,"RDT,PREGNANCY TESTS",21891,687,01/04/16
HUM0241,MINAKULU MATERNITY AND DISPENSARY HEALTH CENTRE,UCMB,DHO,,,,,ACENO,MINAKULU,OYAM SOUTH,OYAM,Medical,Out Patient and In Patient ,38,Yes,No,No,No,,19834,383,20/03/16
HUM0245,MIREMBE CLINIC,KALEMA HERBERT,DR KALEMA HERBERT,,,,,"MUTUKULA ROAD,KYOTERA",KYOTERA,KYOTERA,RAKAI,Medical,Out Patient and In Patient ,10,Yes,No,No,No,"NURSING HOME,MATERNITY",21428,564,22/03/16
HUM0261,MIREMBE HEALTH CENTRE III,SDA,DHO,,,,,GAYAZA,NANGABO,KYADONDO,WAKISO,Medical,Out Patient and In Patient ,10,Yes,No,No,No,MATERNITY,20286,1723,10/07/16
HUM0262,MIREMBE HEALTH UNIT,SSENDIKADIWA CHARLES,DR SSENDIKADIWA CHARLES,"MASAKA RD, NDEEBA",,RUBAGA,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,No,,19777,461,25/03/16
HUM0263,MIREMBE MARIA KISOGA HEALTH CENTRE II,UCMB,DHO,,,,,KISOGA,MUKONO SOUTH,NTENJERU,MUKONO,Medical,Out Patient and In Patient ,5,Yes,No,No,No,FP,19823,416,20/03/16
HUM0274,MITALA MARIA HEALTH CENTRE,UCMB,DHO,,,,,MITALA MARIA,BUWAMA,MAWOKOTA,MPIGI,Medical and Dental ,Out Patient and In Patient ,12,Yes,No,No,Yes,,24860,1082,15/04/16
HUM0545,MITYANA HEALTH CENTRE III,UMSC,DHO,MITYANA,,MITYANA SOUTH,MITYANA,,,,,Medical,Out Patient and In Patient ,10,No,No,No,No,FP,18152,5,05/01/16
HUM0278,MITYANA TEA ESTATES,TORO MITYANA TEA COMPANY,DHO,,,,,BAKIJULULA,BULERA,SSINGO,MITYANA,Medical,Out Patient ,,Yes,No,No,Yes,OPD,18680,59,20/01/16
HUM0290,MOLLY AND CATHY HEALTH SERVICES,SSEKATAWA ANDREW,DR MUWA INNOCENT PAUL,,,,,BULAMU,NANGABO,KYADONDO,WAKISO,Medical,Out Patient ,,Yes,No,No,No,"FP,COUNSELLING & TESTI",21137,484,22/03/16
HUM0300,MORULEM HEALTH CENTRE III,UCMB,DDHS ABIM DISTRICT,,,,,AREMO,MORULEM,LABWOR,ABIM,Medical,Out Patient and In Patient ,80,Yes,No,No,Yes,"BLOOD TRANSFUSION,VCT",24522,372,11/04/16
HUM0302,MOTHER FRANCISCA LECHNER HEALTH UNIT II,DAUGHTERS OF DIVINE CHARITY,DHO,,,,,RUSHOOKA,KAYONZA,RUSHENYI,NTUNGAMO,Medical,Out Patient ,,Yes,No,No,No,,24431,809,11/04/16
HUM0307,MOYO MISSION HEALTH CENTRE III,UCMB,DHO,,,,,VURRA,MOYO,WEST MOYO,MOYO,Medical,Out Patient and In Patient ,27,Yes,Yes,No,No,,24408,784,11/04/16
HUM0308,MPANGA GROWERS TEA FACTORY CLINIC,MPANGA GROWERS TEA COMPANY,DHO,,,,,KITOMA,BUSORA,BURAHYA,KABAROLE,Medical,Out Patient ,,Yes,No,No,No,OUTREACH SERVICES,18844,131,02/02/16
HUM0310,MPASAANA HEALTH CENTRE,UCMB,DHO,,,,,MPASAANA,MPASAANA,BUGANGAIZI,KIBAALE,Medical,Out Patient and In Patient ,8,Yes,No,No,No,,24766,1051,15/04/16
HUM0321,MT. ELGON HOSPITAL,MT ELGON HOSPITAL LIMITED,DR NYEKO J.F & DR WAKAMUKE E.,10-12INDEPENDENCE AVENUE,,WANALE,MBALE,,,,,Hospital ,Out Patient and In Patient ,33,Yes,Yes,No,Yes,"FP,CT SCAN",19939,220,22/02/16
HUM0536,MUGABI MEDICAL CENTRE,KATO KAMOGA,DR. NAKANWAGI FLAVIA,,,,,NANGABO,KYADONDO,,WAKISO,Medical,Out Patient ,,Yes,No,No,No,,19483,318,10/03/16
HUM0331,MUGALIKE HC III,UCMB,DDHS,,,,,NYABUHIKE,KYANAISOKE,BUYAGA,KIBAALE,Medical and Dental ,Out Patient and In Patient ,12,Yes,No,No,No,,22217,1631,27/06/16
HUM0359,MUKO HEALTH CENTRE,UCMB,DHO KABALE,,,,,KARENGYERE,MUKO,RUBANDA,KABALE,Medical,Out Patient and In Patient ,42,Yes,No,No,Yes,"FP,ANC",19841,390,20/03/16
HUM0365,MUKWANO FAMILY CLINIC,MUKWANO INDUSTRIES,DR LUKAKAMWA DANIEL,"30, PRESS HOUSE RD",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,3,Yes,No,No,Yes,"HIV/TB,PMTCT,IMMUN.",18214,25,13/01/16
HUM0488,MUKWAYA GENERAL HOSPITAL,KIWANUKA BERNARD MATHIAS,DR KIWANUKA BERNARD MATHIAS,NSAMBYA,,MAKINDYE,KAMPALA,,,,,Medical,Out Patient and In Patient ,60,Yes,Yes,No,Yes,,21490,586,22/03/16
HUM0448,MUKWAYA MEDICAL CENTRE,KIWANUKA MATHIAS BERNARD,DR KIWANUKA MATHIAS BERNARD,"33/35,HORBART STREET",KATWE BUTEBO,MASAKA,MASAKA,,,,,Medical,Out Patient ,,Yes,Yes,No,No,"FP,IMMUNIZATION,NURSIN",21488,589,22/03/16
HUM0377,MULTISYSTEM CLINICAL LABORATORIES,MICHEAL ODIDA & WABINGA HENRY,DR ODIDA MICHEAL & WABINGA HENRY,"80, BOMBO RD",WANDEGEYA,KAWEMPE,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,"HISTOPATHOLOGY,CYTOLOG",24298,996,11/04/16
HUM0382,MUNATHAMAT HEALTH CENTRE III,UMMB,DHO,,,,,KITOORO,KYAZANGA,MASAKA,MASAKA,Medical and Dental ,Out Patient ,10,Yes,No,No,No,,24120,724,01/04/16
HUM0383,MUNGUCHI MEDICAL CENTRE,MUNGUCHI MEDICAL CENTRE-NGO,DR KISSA CHARLES KENENEDY,"7,WADRI RD",PANGISHA,RIVER OLI,ARUA,,,,,Medical and Dental ,Out Patient and In Patient ,30,Yes,Yes,No,No,"FP,MINOR THEATRE,HIV",21369,556,22/03/16
HUM0554,MUSANA COMMUNITY HEALTH CENTRE,MUSANA COMMUNITY DEVELOPMENT ORGANISATIO,DHO,,,,,BUSEY,NAKALAMA,,IGANGA,Medical and Dental ,Out Patient and In Patient ,10,Yes,Yes,No,Yes,FP,18587,183,12/02/16
HUM0396,MUSHANGA HEALTH CENTRE III,UCMB,DHO,,,,,NYARWESHAMA,,SHEEMA,SHEEMA,Maternity,Out Patient and In Patient ,28,Yes,No,No,Yes,,24432,810,11/04/16
HUM0397,MUSICHIMI HEALTH CENTRE III,TORORO DIOCESE,DHO,,,,,LUNYO,,MASAFU,BUSIA,Medical,Out Patient and In Patient ,8,Yes,No,No,No,,24565,709,26/04/16
HUM0471,MUSMUSH MEDICAL CENTRE,MUSIIME JACKSON,DR SSENTAMU DANIEL,MBARARA,,KAKOBA,MBARARA,,,,,Medical,Out Patient and In Patient ,8,Yes,No,No,No,,18422,39,12/01/16
HUM0515,MUTASA FAMILY MEDICAL CENTRE,ISABIRYE BEN,DR BYARUHANGA CRESCENT,MASINDI,,CENTRAL DIVISION,MASINDI,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,No,FP,19656,357,10/03/16
HUM0407,MUTUKULA GENERAL CLINIC,LULE JOSEPH,DR LULE JOSEPH,,,,,MUTUKULA,KAKUUTO,,RAKAI,Medical,Out Patient and In Patient ,5,No,No,No,No,,25270,1384,19/05/16
HUM0408,MUTUNGO NURSING HOME,MUMBERE DANIEL,DR KEERI JOE COOL VICENT,,,,,KASAMBYA,KASAMBYA,,MUBENDE,Nursing Home,Out Patient and In Patient ,6,Yes,No,No,No,,19266,238,24/02/16
HUM0430,MUZINDA KATEREKE HEALTH CARE SERVICES,UCMB,DHO WAKISO,,,,,MUZINDA,NSANGI,BUSIRO EAST,WAKISO,Medical,Out Patient and In Patient ,3,No,No,No,No,,24862,1084,15/04/16
